ICP.ID,Group,Sample,Easting,Northing,pH,EC,NO3.N,PO4.P,SO4.S,Cl,Al,As,B,Ba,Ca,Cd,Ce,Cr,Cu,Fe,K,La,Mg,Mn,Na,Ni,P,Pb,S,Si,Sr,Zn
ENVT 3361_wat_39,10,4,391339,6466437,6.9,939,0.43606343,0.011,NA,NA,NA,NA,NA,0.107,52.011,NA,NA,NA,NA,0.131,7.544,NA,17.916,0.037,93.543,NA,NA,NA,31.643,4.731,0.241,NA
ENVT 3361_wat_40,10,5,391337,6466429,6.99,930,0.345346042,0.013,NA,NA,0.041,NA,NA,0.11,50.88,NA,NA,NA,NA,0.149,7.73,NA,17.931,0.034,93.658,NA,0.013,NA,31.435,4.796,0.235,NA
ENVT 3361_wat_41,10,6,391332,6466424,7.01,515,0.007907722,0.03,NA,NA,0.039,NA,0.11,0.03,43.162,0,NA,NA,NA,0.572,5.677,NA,5.412,0.012,56.197,NA,0.047,NA,13.009,3.64,0.16,NA
ENVT 3361_wat_42,6,1,391380,6466509,7,1188,1.0074,1.645814,NA,NA,0.033,NA,NA,0.075,73.886,0,NA,NA,NA,0.154,12.936,0.005,18.431,0.053,99.663,NA,3.162,NA,44.293,4.739,0.334,0.01
ENVT 3361_wat_43,6,2,391388,6466505,7.06,1171,1.4273,0.011457,NA,NA,NA,NA,NA,0.074,69.451,NA,NA,NA,0.014,0.155,8.291,0.005,18.101,0.05,95.372,NA,0.019,NA,42.139,4.586,0.318,0.012
ENVT 3361_wat_44,6,3,391386,6466501,7.11,1133,1.4246,0.020929,NA,NA,NA,NA,NA,0.071,62.612,NA,NA,NA,NA,0.1,7.183,0.007,17.546,0.044,92.632,0.002,0.019,NA,38.978,4.404,0.291,0.008
ENVT 3361_wat_45,6,4,391386,6466498,6.99,1165,0.0616,0.161424,NA,NA,NA,NA,NA,0.073,68.586,NA,NA,NA,NA,0.121,7.254,0.006,17.527,0.047,93.513,NA,NA,NA,40.852,4.599,0.316,0.011
ENVT 3361_wat_46,6,5,391383,6466495,7.08,1115,0.0458,0.024086,NA,NA,NA,NA,NA,0.074,60.397,NA,NA,NA,0.008,0.123,7.838,0.006,17.391,0.038,93.462,NA,0.027,NA,37.653,4.363,0.279,0.014
ENVT 3361_wat_47,6,6,391382,6466493,7.07,1092,0.0724,0.016193,NA,NA,NA,NA,NA,0.078,55.486,NA,NA,NA,NA,0.121,7.713,NA,17.626,0.034,93.585,NA,0.014,NA,35.928,4.212,0.259,0.009
ENVT 3361_wat_48,6,7,391378,6466491,6.97,1077,0.0578,0.005143,NA,NA,NA,NA,NA,0.075,56.446,NA,NA,NA,NA,0.124,7.051,NA,17.483,0.038,93.773,NA,0.016,NA,36.252,4.276,0.266,0.013
