Long.est,Lat.est
113.886929,-21.88343181
113.662508,-22.42150777
113.7073962,-22.86998737
113.7522744,-23.49775926
113.4829751,-23.72194929
113.3034423,-24.17042888
113.9318072,-25.6053645
114.0664618,-25.82955452
114.2011065,-26.36773004
113.886929,-26.54702233
113.4829751,-25.78475634
113.5727415,-26.63671825
113.8420408,-27.12999603
113.9766954,-27.39908379
114.0664618,-27.93715976
114.3806393,-28.38563936
114.3806393,-28.83401941
114.6499386,-29.05830898
114.8294714,-29.41699311
114.9192378,-30.13456047
115.0538924,-30.6277387
115.3231917,-31.21071241
115.5476127,-31.56949609
115.6373791,-31.79368611
115.6822574,-32.42155755
115.5924909,-32.73544349
115.5924909,-33.27351946
115.3680799,-33.67710133
114.964126,-33.67710133
115.0090042,-34.30487321
115.2783135,-34.26007503
115.5476127,-34.57396097
115.9515566,-34.798151
116.669688,-35.02244057
117.0736418,-34.93274465
117.2082865,-34.97754284
117.6122403,-35.06723876
118.0161842,-34.84304873
118.4650163,-34.70845508
118.7343156,-34.52916279
119.2729181,-34.43946687
119.5422183,-34.12558092
119.8564008,-33.99098727
120.2603497,-33.99098727
120.8438324,-33.90129135
121.4721963,-33.81159543
121.9659166,-33.85649316
122.1454494,-33.94618908
122.908459,-33.90129135
123.2226465,-33.94618908
123.4919457,-33.90129135
123.985656,-33.49770949
124.0754225,-33.0044317
124.4793763,-32.91473578
125.3770405,-32.64574757
126.0951718,-32.28696389
126.8133032,-32.28696389
127.8007338,-32.06277387
129.0574636,-31.65919201
129.6409503,-31.56949609
130.8976802,-31.56949609
131.1670094,-31.43500198
132.0197355,-31.79368611
132.333903,-32.01787613
132.6481702,-31.92827977
133.2315672,-32.19726797
133.5906728,-32.06277387
133.9497783,-32.33186163
134.3087842,-32.55605165
134.2639458,-32.91473578
134.4434986,-33.13902536
134.8474425,-33.22872128
135.0268956,-33.67710133
135.3411627,-33.90129135
135.6103923,-34.798151
135.834883,-34.88784692
136.3734417,-34.035885
136.9569383,-33.67710133
137.2711059,-33.58740541
137.5852734,-33.13902536
137.9443789,-32.73544349
138.16877,-33.04932944
138.0341553,-33.3184172
138.0341553,-33.63230314
137.7198881,-34.08068319
137.540435,-34.93274465
137.3159442,-34.97754284
137.1364911,-35.15693468
137.2711059,-35.20173286
137.7198881,-35.06723876
137.8546025,-34.57396097
138.1239317,-34.26007503
138.3931612,-34.52916279
138.5727139,-34.75335281
138.7073287,-35.29142878
138.4380992,-35.51571836
138.4380992,-35.65021246
139.0215959,-35.60531472
139.6947693,-35.91930022
140.0089368,-36.77126213
139.874322,-36.99545215
140.0089368,-37.30943765
140.4129803,-37.66812178
140.6373715,-38.02690546
141.1759301,-38.07170364
141.4003213,-38.16139956
141.4900976,-38.38558959
141.9389795,-38.25109548
142.1633707,-38.38558959
142.657091,-38.29599322
142.7468673,-38.47528551
143.5547551,-38.78917145
143.8240843,-38.74437327
144.5870341,-38.29599322
144.5870341,-38.16139956
145.1256924,-37.93720954
145.2603071,-37.98200772
145.3052451,-38.25109548
145.1705307,-38.38558959
145.3950215,-38.25109548
145.709189,-38.29599322
145.7540274,-38.60987916
146.2926857,-38.74437327
146.9658591,-38.65467735
147.4595794,-38.29599322
147.8186849,-37.98200772
149.2998458,-37.80271543
149.748628,-37.7578177
149.9281808,-37.62332359
150.1525719,-37.44393175
150.1077336,-36.99545215
150.2872863,-36.412578
150.3321247,-35.65021246
150.6462922,-35.60531472
150.5565158,-35.33632652
150.825845,-35.20173286
151.0502361,-34.70845508
151.3195653,-33.63230314
151.1400125,-33.4529113
151.6337328,-33.4529113
151.9928383,-32.8699376
152.2172295,-32.60084984
152.7109497,-32.42155755
152.6211734,-32.19726797
152.9802789,-31.79368611
153.20467,-31.16591422
153.2495084,-30.6277387
153.3842228,-30.08966274
153.6086139,-29.73087906
153.5188375,-29.46189085
153.6983903,-28.83401941
153.6983903,-28.29594344
153.6086139,-27.75786747
153.3392848,-27.35428561
153.3392848,-26.86100783
153.20467,-26.41252823
153.2944464,-25.96414818
153.20467,-25.65016268
153.1148936,-25.29147856
152.8905025,-25.29147856
152.6660117,-24.75330304
152.3070058,-24.61880893
152.2172295,-24.2601248
151.7235092,-24.03583523
151.499118,-23.90134112
151.4093417,-23.6771511
151.1849505,-23.6771511
151.0951741,-23.6771511
150.7810066,-23.31836742
151.0053978,-23.31836742
150.9604597,-23.00448148
151.0053978,-22.60089961
150.5565158,-22.42150777
150.2872863,-22.19731775
150.2872863,-22.60089961
149.9281808,-22.42150777
149.748628,-21.97312773
149.6588517,-21.61434405
149.4344605,-21.25556037
149.3896222,-21.03137034
149.0305166,-20.8519785
148.9407402,-20.49329438
148.9407402,-20.31390254
148.5816347,-20.1345107
148.3572436,-19.91032067
147.7737469,-19.77572702
147.6391322,-19.50673881
147.4595794,-19.41704289
146.6966296,-19.14795513
146.6068532,-19.10315694
146.4721388,-18.43048732
146.2029093,-18.07170364
146.2926857,-17.53362767
146.1131329,-16.90581597
145.664251,-16.32286217
145.5744746,-15.91927035
145.4846983,-15.56052649
145.1705307,-15.2914686
145.3950215,-15.2914686
145.4846983,-14.88788674
144.9461396,-14.52914288
144.8563632,-14.52914288
144.7217485,-14.17039902
144.407581,-14.21523702
144.1830902,-14.39460895
144.0484754,-14.39460895
143.6893699,-13.67712124
143.7343079,-13.22869141
143.4201404,-12.28699376
143.2405876,-12.2421458
143.1956496,-11.83855398
142.9712585,-11.74886802
142.8366437,-10.89685633
142.5224762,-10.7174844
142.1633707,-11.92823995
141.8492032,-12.1973078
142.1185323,-12.55605165
141.8492032,-12.73542358
141.8940415,-13.22869141
141.624812,-13.54259727
141.7145884,-14.08071305
141.7594268,-14.39460895
141.8940415,-15.02241071
141.6696504,-15.2914686
141.5350356,-16.23317621
141.2657065,-16.72644404
141.0861537,-17.21974173
140.7271478,-17.53362767
140.3232039,-17.62332359
139.3357634,-17.26453991
139.245987,-16.90581597
138.6624903,-16.68160603
138.2136084,-16.54707211
137.8994409,-16.18832825
137.495497,-16.09864228
137.2262675,-15.87443235
136.7325472,-15.82958439
136.5978328,-15.56052649
136.3734417,-15.47084053
136.2388269,-15.33631656
135.9245598,-15.11209667
135.6553303,-15.11209667
135.3860011,-14.66366685
136.0143362,-13.81165516
135.9694978,-13.4529113
135.9694978,-13.18385341
136.3286033,-12.91479551
136.4182801,-13.00448148
136.5529944,-12.78026159
136.9120003,-12.2421458
136.7325472,-12.15245984
136.5978328,-11.92823995
136.4182801,-11.88340194
136.4632181,-12.1973078
136.2388269,-12.37667972
136.1041125,-12.1973078
135.834883,-12.15245984
135.7451066,-12.01792591
135.2962247,-12.1973078
134.9372188,-11.97308791
134.6678897,-11.97308791
134.3537222,-11.97308791
134.2190078,-11.83855398
133.8150639,-11.70403001
133.2765052,-11.61434405
133.0521141,-11.34528615
132.7378469,-11.39012416
132.782785,-11.92823995
132.0197355,-12.1973078
131.2118477,-12.06277387
131.032295,-12.51120369
130.8079038,-12.46636569
130.6283511,-12.60088966
