"Easting","Northing","Longitude","Latitude"
391311.6,6466528,115.850196894165,-31.9319701311805
391313.06,6466461,115.850204813811,-31.9325746168346
391294.11,6466460.4,115.850004309611,-31.9325782141845
391295.72,6466367.9,115.850010950713,-31.9334127263068
391308.86,6466348.7,115.85014777958,-31.9335871703244
391342.14,6466349.1,115.850499835625,-31.9335867487529
391343.16,6466280.8,115.850502957089,-31.9342029182753
391362.97,6466269.5,115.850711225656,-31.9343067415629
391377.67,6466255,115.850865085294,-31.9344389397579
391401.81,6466244.7,115.851119267026,-31.9345341567
391427.44,6466245.1,115.851390409882,-31.9345330007403
391433.9,6466253.7,115.85145970435,-31.9344560459321
391417.46,6466404.3,115.851302707193,-31.9330960478906
391416.58,6466528.2,115.851307297901,-31.9319783744959
391311.6,6466528,115.850196894165,-31.9319701311805
