PLOT,Rel.To.Brook,Transect,UTM_EASTING,UTM_NORTHING,PH,MOISTURE.pct,OM.pct,Cd,Cu,Ni,Cr,Co,Zn,Mn,Ca.pct,Ca,Mg.pct,Mg,Al.pct,Al,Fe.pct,Fe,P,S,B,Ti.pct,Ti,K.pct,K,Na.pct,Na,EXCH_Al,EXCH_As,EXCH_B,EXCH_Ca,EXCH_Cd,EXCH_Co,EXCH_Cr,EXCH_Cu,EXCH_Fe,EXCH_K,EXCH_Mg,EXCH_Mn,EXCH_Mo,EXCH_Ni,EXCH_P,EXCH_Pb,EXCH_Se,EXCH_Sr,EXCH_V,EXCH_Zn,SUM_BC,GRAVEL,SANDSILTCLAY,VERYCOARSESAND,COARSESAND,MEDIUMSAND,FINESAND,VERYFINESAND,SILTCLAY,DATE
46,South,E280000,280000,4866900,3.21,1.823,12.253,0.586,9.866,5.275,24.813,10.55,14.36,363.691,0.132,1316,0.05,503,1.784,17845,0.829,8292,363.69,NA,27.743,0.468,4683,1.604,16049,0.996,9964,0.1477834,NA,NA,0.071313544,0.000093688,0.001190313,0.000035556,0.001032496,0.05287881,0.084759767,0.024367752,0.019180169,9.77E-06,0.002762833,0.013498228,0.007408122,5.70E-05,0.000548677,0.00017234,0.005065022,0.007985373,21.01,78.989,3.875,15.142,24.814,15.289,5.031,14.836,1997/1998
47,South,E280000,280000,4867000,4.48,1.228,6.352,NA,10.52,6.777,20.939,10.318,10.823,219.098,0.142,1424,0.131,1311,1.788,17881,0.984,9845,264.313,NA,21.646,0.564,5647,1.516,15164,0.839,8396,0.143138608,NA,NA,0.04771196,3.47E-05,0.001360115,1.59E-05,0.00049199,0.040608069,0.037964771,0.014451483,0.002711095,4.16E-06,0.001394923,0.100623278,0.003212177,NA,0.000348774,0.00013131,0.002381457,0.016356,12.312,87.687,2.839,12.579,21.154,15.738,7.07,28.117,1997/1998
48,South,E280000,280000,4867200,3.56,2.456,16.046,0.705,16.527,6.852,19.046,11.488,12.596,225.425,0.127,1266,0.085,857,2.222,22224,0.96,9603,708.724,31.037,24.89,0.601,6017,1.441,14416,1.189,11891,0.327436481,NA,NA,0.066033508,8.59E-05,0.002602579,NA,0.000413176,0.075361671,0.079844486,0.030769943,0.003946026,NA,0.0037084,0.03202135,0.005462075,NA,0.000610296,0.000100079,0.003317152,0.009111777,18.28,81.719,3.325,15.669,22.631,13.57,3.034,23.468,1997/1998
49,South,E280000,280000,4867300,4.12,4.121,17.555,0.299,5.386,11.968,22.041,9.973,27.426,392.544,0.182,1815,0.272,2727,2.452,24522,2.573,25736,753.572,161.664,22.24,0.415,4154,1.432,14322,1.107,11070,0.58979179,NA,NA,0.136076511,0.000114233,0.000988513,NA,NA,0.032184915,0.044689966,0.019927655,0.012594209,NA,0.003352329,NA,0.002249937,NA,0.000773669,NA,0.00389112,0.00967757,14.991,85.008,3.662,13.636,20.085,12.983,6.5,28.397,1997/1998
50,South,E280000,280000,4867500,4.47,3.076,9.193,1.441,24.605,18.016,34.489,18.634,67.433,765.438,0.433,4325,0.604,6045,4.454,44544,3.66,36605,825.046,32.017,35.62,0.536,5361,1.629,16290,1.008,10089,0.275556022,NA,NA,0.091341048,0.00020563,0.00031219,NA,NA,0.002173639,0.047449698,0.014142777,0.042539226,NA,0.001512336,NA,0.000829135,NA,0.000808594,NA,0.004720741,0.00701518,11.534,88.465,3.161,12.824,20.628,14.522,7.369,30.066,1997/1998
51,South,E280000,280000,4867600,4.35,3.534,10.441,1.736,19.301,24.101,37.377,17.565,70.465,830.158,0.441,4413,0.563,5638,4.164,41646,4.005,40058,838.123,85.885,32.985,0.539,5391,1.603,16033,1.062,10621,0.341057817,NA,NA,0.130332032,0.000146824,0.000710849,3.76E-06,NA,0.007019495,0.056412152,0.017195446,0.042748277,NA,0.001746371,NA,0.001725121,NA,0.001000824,NA,0.004660218,0.009560894,15.56,84.439,3.03,11.361,18.861,13.024,5.109,33.016,1997/1998
52,South,E280000,280000,4867800,4.31,3.62,12.001,0.933,17.519,18.97,29.958,16.793,50.068,554.585,0.588,5882,0.586,5866,4.993,49936,4.062,40624,697.74,37.628,26.226,0.524,5243,1.619,16194,1.026,10262,0.47147284,5.68E-05,NA,0.155627036,0.000118238,0.00141408,1.53E-05,NA,0.028741143,0.047537865,0.019993625,0.033307245,NA,0.003051711,NA,0.001239268,NA,0.001160073,NA,0.004300009,0.010775748,9.323,90.676,2.369,10.045,18.163,14.416,7.309,38.353,1997/1998
53,South,E280000,280000,4867900,4.49,3.902,12.048,NA,18.827,17.182,29.428,19.832,55.018,665.332,0.246,2456,0.48,4809,3.093,30938,3.374,33745,791.909,128.862,31.073,0.499,4991,1.496,14967,1.051,10510,0.360724985,2.19E-05,NA,0.12489218,9.15E-05,0.000711088,1.64E-05,9.46E-05,0.004294797,0.046328081,0.017658454,0.03844223,NA,0.00241882,NA,0.001219917,NA,0.001234297,2.80E-06,0.003298152,0.009090123,14.104,85.895,3.713,13.889,20.012,13.603,7.73,27.07,1997/1998
54,South,E280000,280000,4868100,4.26,3.772,11.377,1.264,11.087,16.047,25.383,11.67,23.535,306.441,0.191,1906,0.227,2273,2.221,22214,2.943,29432,349.62,NA,25.091,0.468,4685,1.201,12011,0.953,9531,0.641824156,2.24E-05,NA,0.246950454,6.95E-05,0.001254103,NA,NA,0.046537908,0.021929412,0.02469118,0.006723685,0.000231752,0.003819952,NA,0.001819551,NA,0.002311057,NA,0.003473143,0.014915619,12.647,87.352,3.847,16.162,23.011,13.352,5.73,25.376,1997/1998
55,North,E280000,280000,4868200,4.32,3.167,9.798,0.927,8.036,17.926,22.871,12.672,28.846,487.597,0.684,6835,0.45,4508,3.154,31541,3.11,31109,476.161,14.732,12.362,0.448,4486,1.163,11633,1.38,13805,0.551870768,NA,NA,0.058981808,5.17E-05,0.001719763,2.16E-05,0.000231532,0.041472875,0.03811299,0.017667046,0.004109187,7.00E-06,0.003083543,NA,0.00220508,5.46E-05,0.000584835,5.57E-06,0.002636512,0.00560701,5.98,94.019,1.744,15.089,34.75,16.502,5.994,19.986,1997/1998
