PLOT,Rel.To.Brook,Transect,UTM_EASTING,UTM_NORTHING,PH,MOISTURE.pct,OM.pct,Cd,Cu,Ni,Cr,Co,Zn,Mn,Ca.pct,Ca,Mg.pct,Mg,Al.pct,Al,Fe.pct,Fe,P,S,B,Ti.pct,Ti,K.pct,K,Na.pct,Na,EXCH_Al,EXCH_As,EXCH_B,EXCH_Ca,EXCH_Cd,EXCH_Co,EXCH_Cr,EXCH_Cu,EXCH_Fe,EXCH_K,EXCH_Mg,EXCH_Mn,EXCH_Mo,EXCH_Ni,EXCH_P,EXCH_Pb,EXCH_Se,EXCH_Sr,EXCH_V,EXCH_Zn,SUM_BC,GRAVEL,SANDSILTCLAY,VERYCOARSESAND,COARSESAND,MEDIUMSAND,FINESAND,VERYFINESAND,SILTCLAY,DATE
103,South,E279000,279000,4866900,4.05,5.058,9.186,0.098,6.662,10.483,18.125,8.719,13.422,79.65,0.025,253,0.081,818,0.697,6975,1.815,18159,440.18,NA,19.594,0.378,3784,2.109,21095,1.146,11463,0.416794143,0.000116015,NA,0.037401863,6.81E-05,0.000698141,NA,NA,0.024301461,0.038225825,0.015196118,0.003777424,NA,0.004049166,NA,0.002953864,NA,0.000297281,NA,0.00314489,0.004296717,9.173,90.826,2.772,13.157,22.157,14.114,7.086,31.578,1997/1998
104,South,E279000,279000,4866700,3.86,0.51,2.24,0.567,5.485,8.512,22.131,11.822,6.904,136.566,0.035,349,0.057,577,0.536,5364,0.689,6893,188.203,NA,25.156,0.597,5975,1.604,16047,0.841,8417,0.10002456,NA,NA,0.009824026,6.76E-06,0.000360948,3.67E-05,0.000728804,0.016643559,0.017982626,0.00639128,0.001208868,1.09E-05,0.006079696,NA,0.001957245,4.16E-05,0.000136339,4.73E-05,0.001350196,0.001745655,15.988,84.011,2.69,11.394,19.316,13.802,9.733,27.14,1997/1998
105,South,E279000,279000,4866600,3.79,0.746,3.177,0.203,16.148,5.18,18.382,14.015,6.195,175.289,0.079,787,0.069,699,0.658,6588,1.065,10656,65.2,NA,19.092,0.737,7370,1.328,13284,0.832,8328,0.091224038,NA,NA,0.014731967,0.000033005,0.000509759,NA,0.001043767,0.014444037,0.020878044,0.007565159,0.00134198,NA,0.002964257,NA,0.001603865,NA,0.000192821,7.10E-05,0.001592819,0.00207089,12.197,87.802,2.947,12.216,21.897,14.076,7.721,28.746,1997/1998
106,South,E279000,279000,4866400,3.83,9.123,19.229,1.256,19.995,19.995,36.116,14.237,29.102,143,0.101,1007,0.196,1969,1.408,14082,7.709,77090,875.479,215.546,19.262,0.532,5324,1.567,15672,0.827,8270,1.201154741,NA,NA,0.140174061,0.000099558,0.001233073,1.15E-05,0.001180595,0.042501631,0.032370767,0.020677319,0.00165759,NA,0.008483806,NA,0.004100264,NA,0.001114461,3.79E-06,0.005834831,0.00992268,11.987,88.012,2.729,11.505,14.618,12.143,6.837,40.459,1997/1998
107,South,E279000,279000,4866300,4.03,0.769,4.138,0.19,1.803,5.788,27.42,8.255,3.605,99.529,0.09,898,0.049,494,0.951,9513,0.61,6108,171.353,NA,20.683,0.355,3553,2.218,22187,1.195,11955,0.152859188,0.000003103,NA,0.032537608,2.42E-05,0.000563127,NA,3.86E-05,0.020893324,0.012323284,0.007510324,0.001084146,4.68E-05,0.003969659,NA,0.000852888,NA,0.000307102,3.04E-05,0.001382797,0.002637186,3.699,96.3,1.595,10.091,26.214,23.401,13.092,22.123,1997/1998
120,North,E278000,278000,4868400,4.87,6.725,11.119,1.006,3.12,13.485,29.084,12.882,19.322,249.179,0.462,4615,0.223,2238,1.381,13810,3.162,31625,475.21,68.936,17.309,0.507,5076,1.183,11832,1.258,12580,0.532890844,0.000134267,NA,0.114144413,4.14E-05,0.000323875,NA,NA,0.009140348,0.02276388,0.012113113,0.002903292,7.53E-05,0.002788473,NA,0.000880161,NA,0.001082765,NA,0.001878596,0.007342608,10.054,89.945,2.585,14.523,23.522,15.983,9.274,24.233,1997/1998
121,North,E278000,278000,4868500,4.74,12.265,10.289,0.586,11.325,14.839,35.829,18.452,50.962,312.702,0.483,4827,0.25,2509,1.375,13751,2.407,24078,1105.633,47.544,14.937,0.512,5122,1.212,12127,1.532,15328,0.223200726,NA,NA,0.1084829,3.44E-05,0.00036834,1.44E-05,0.000458491,0.000850647,0.022055066,0.013295099,0.006840644,0.00001968,0.001330677,NA,0.001173393,NA,0.001257727,1.69E-05,0.003004652,0.007273975,2.072,97.927,2.334,11.426,17.864,20.543,14.572,30.867,1997/1998
122,North,E278000,278000,4868700,4.44,7.343,10.36,0.823,12.857,14.399,23.862,13.268,22.936,170.529,0.351,3506,0.206,2065,1.329,13299,2.527,25275,444.217,9.668,26.638,0.577,5772,1.505,15057,1.223,12239,0.550622606,NA,NA,0.105226257,0.000179203,0.001137303,2.81E-05,0.000144161,0.045573089,0.031635041,0.016636256,0.004015158,1.01E-05,0.002729474,NA,0.001665407,NA,0.00096454,8.66E-06,0.002563151,0.007637581,6.09,93.909,3.469,14.576,18.743,13.941,8.842,34.336,1997/1998
123,North,E278000,278000,4868800,4.19,12.784,27.952,0.417,13.354,12.519,30.546,11.017,34.969,196.547,0.023,231,0.112,1124,0.542,5423,4.927,49273,463.031,252.213,25.955,0.63,6301,0.927,9278,0.893,8930,0.707788118,NA,NA,0.193907376,7.11E-05,0.001194344,0.000001508,0.000225725,0.032916794,0.027269655,0.020218956,0.005617614,NA,0.002567267,NA,0.001215734,NA,0.001278316,NA,0.003584182,0.012274763,8.868,91.131,2.948,13.035,18.488,13.19,8.668,34.978,1997/1998
124,North,E278000,278000,4869000,4.36,7.46,9.912,1.319,17.351,16.134,44.444,14.815,30.644,217.855,0.04,395,0.169,1697,0.745,7454,3.547,35473,508.056,NA,27.193,0.657,6572,1.234,12340,0.943,9437,0.501006189,NA,NA,0.058790803,4.70E-05,0.000235795,NA,0.000210125,0.005259156,0.019505589,0.00994585,0.004226264,NA,0.002902841,NA,0.001464741,NA,0.000631873,NA,0.00231556,0.00437563,10.13,89.869,3.15,15.395,19.982,12.501,5.886,32.736,1997/1998
125,North,E278000,278000,4869100,4.49,5.352,12.363,0.419,21.364,14.976,21.888,31.417,91.634,529.07,0.197,1969,0.385,3853,1.453,14539,7.192,71928,861.361,291.868,20.107,1.379,13794,0.844,8442,0.701,7017,0.627177984,0.000034121,NA,0.055510996,6.30E-05,0.000772633,NA,0.000192418,0.022411075,0.027704486,0.01521446,0.007042729,4.83E-05,0.002908156,NA,0.001651929,NA,0.000628347,1.88E-06,0.003356454,0.004871038,8.277,91.722,2.986,13.542,17.806,10.049,6.348,41.12,1997/1998
126,North,E278000,278000,4869300,4.37,10.217,16.026,1.465,10.568,15.381,44.469,11.824,31.076,183.944,0.045,450,0.23,2303,0.906,9068,4.515,45158,438.515,38.609,32.436,0.572,5722,1.063,10634,0.774,7743,0.754135471,NA,NA,0.08289809,0.000038879,0.000609692,2.54E-05,0.00013123,0.018674907,0.024129818,0.016108873,0.003139606,NA,0.002031407,NA,0.001756135,NA,0.000816071,NA,0.001985564,0.006264443,9.442,90.557,2.999,15.583,22.358,13.675,6.648,29.479,1997/1998
127,North,E278000,278000,4869400,4.45,5.085,7.153,0.745,8.289,16.951,40.234,14.529,23.563,219.426,0.044,438,0.162,1621,0.664,6649,2.799,27991,379.152,NA,27.381,0.549,5494,1.05,10507,1.061,10617,0.447110642,NA,NA,0.052105839,2.89E-05,0.00026312,NA,NA,0.007736367,0.017468622,0.007451558,0.00134349,NA,0.003653774,NA,0.00116293,NA,0.00056078,NA,0.001051809,0.003823143,11.176,88.823,2.622,11.978,20.75,15.826,7.847,29.552,1997/1998
128,North,E278000,278000,4869600,4.77,11.795,19.267,0.414,12.313,17.797,34.869,12.52,46.147,108.952,0.031,310,0.189,1894,0.669,6696,1.69,16901,1312.18,498.301,22.969,0.517,5179,1.159,11593,1.024,10243,0.29791174,8.42E-05,NA,0.101549652,2.74E-05,0.000178935,NA,NA,0.001669933,0.017580959,0.010957695,0.004421568,5.16E-05,0.001589489,NA,0.000753484,NA,0.001009475,NA,0.002180135,0.006454644,2.011,97.988,6.843,18.422,18.682,14.988,7.15,32.184,1997/1998
129,North,E278000,278000,4869700,4.22,2.892,8.876,0.409,NA,11.75,25.441,10.728,17.676,109.428,0.035,354,0.078,785,0.499,4993,1.94,19405,444.046,NA,17.676,0.579,5797,1.23,12302,1.001,10013,0.559796329,NA,NA,0.046551089,7.46E-05,0.001055804,NA,0.000497569,0.038917245,0.02944451,0.014772902,0.00397276,NA,0.004426917,NA,0.001828872,NA,0.00076305,0.000012801,0.003233642,0.004450961,6.196,93.803,2.895,11.397,18.839,13.538,7.462,39.608,1997/1998
130,North,E278000,278000,4869900,4.35,4.286,7.712,1.522,13.187,14.607,31.446,15.723,29.417,186.747,0.044,435,0.101,1012,0.598,5989,3.145,31455,598.99,1.521,20.389,0.575,5759,1.56,15609,0.699,6999,0.496274681,NA,NA,0.04445171,3.45E-05,0.001049269,8.82E-06,0.000207479,0.012261229,0.019332275,0.010982889,0.014892603,NA,0.005113852,NA,0.002500744,1.20E-05,0.000479079,NA,0.002038249,0.003727213,11.693,88.306,6.007,20.233,22.463,10.356,4.772,24.251,1997/1998
131,North,E278000,278000,4870000,4.08,9.026,22.927,1.569,29.613,19.611,22.063,27.162,78.151,309.368,0.243,2427,0.356,3562,1.469,14698,6.568,65681,812.788,372.221,18.14,1.174,11744,0.951,9512,0.774,7746,1.25103033,1.88E-05,NA,0.095536045,0.000153371,0.00390897,3.83E-06,NA,0.133836914,0.040162035,0.028358276,0.021631149,6.50E-05,0.003803799,NA,0.002575013,NA,0.001276145,1.22E-05,0.00470074,0.008202911,18.152,81.847,5.767,18.728,22.008,11.098,7.265,17.558,1997/1998
132,North,E278000,278000,4870200,4.24,5.401,9.898,0.809,11.528,8.898,26.594,10.719,21.639,137.824,0.028,284,0.113,1137,0.762,7620,2.851,28514,386.676,NA,38.323,0.613,6130,1.281,12815,0.616,6168,0.685910308,0.000153334,NA,0.081336706,5.17E-05,0.000534624,NA,NA,0.02050927,0.014129401,0.013057381,0.004994091,2.26E-05,0.004518679,NA,0.001433895,NA,0.000909617,NA,0.002242434,0.005549614,8.765,91.234,2.667,13.956,20.665,13.498,7.565,32.8,1997/1998
133,North,E278000,278000,4870300,4.03,5.909,11.729,1.008,10.385,12.805,37.305,9.478,24.299,148.111,0.054,536,0.139,1393,0.873,8734,3.93,39303,367.001,11.998,31.154,0.542,5426,1.386,13861,0.655,6554,0.730887837,NA,NA,0.087826799,5.10E-05,0.001371215,NA,NA,0.050142786,0.02121815,0.014424274,0.006222421,1.47E-05,0.004626938,NA,0.002571028,NA,0.000793683,NA,0.002829628,0.006149227,10.39,89.609,2.754,12.269,19.156,12.19,5.372,37.875,1997/1998
134,North,E278000,278000,4870500,4.52,3.599,11.362,1.664,10.668,10.57,18.302,10.081,20.749,96.893,0.047,465,0.072,725,0.55,5509,2.431,24316,375.141,NA,21.238,0.416,4160,1.551,15512,0.89,8906,0.545610344,NA,NA,0.075223501,5.76E-05,0.000794903,NA,0.000738236,0.02471526,0.022055835,0.011559239,0.004688794,NA,0.003857802,NA,0.001473049,NA,0.000577765,NA,0.002102889,0.005414173,12.327,87.672,5.302,21.969,19.99,9.456,4.153,26.728,1997/1998
135,North,E278000,278000,4870600,4.28,4.012,10.7,0.676,13.901,13.032,28.863,11.391,20.948,76.067,0.012,118,0.104,1049,0.494,4947,2.625,26255,559.403,NA,31.372,0.534,5348,1.699,16996,0.994,9943,0.561890776,1.79E-05,NA,0.038946237,5.01E-05,0.000734312,5.47E-06,NA,0.024599186,0.029886521,0.010389936,0.006747754,5.30E-06,0.00396793,NA,0.001904536,NA,0.000299749,3.67E-06,0.001842999,0.003710376,16.541,83.458,4.922,16.073,17.789,11.747,7.57,25.392,1997/1998
136,North,E278000,278000,4870800,4.48,7.383,14.981,0.198,5.052,7.43,22.389,10.006,22.686,77.768,0.015,150,0.116,1167,0.691,6914,3.013,30138,471.46,19.912,23.082,0.4,4007,1.639,16396,0.822,8223,0.740323701,0.000131994,NA,0.066883197,9.61E-05,0.001201237,NA,NA,0.042647312,0.023445758,0.011258764,0.002859444,NA,0.002955276,NA,0.002041137,NA,0.000487504,NA,0.00226138,0.005017909,12.297,87.702,4.641,19.334,21.458,10.876,4.897,26.591,1997/1998
137,North,E278000,278000,4870900,3.9,1.258,6.646,NA,12.361,9.453,19.39,9.372,4.767,132.016,0.048,477,0.028,287,1.32,13208,0.609,6097,409.379,NA,32.963,0.553,5530,1.988,19880,0.509,5090,0.257099987,NA,NA,0.027354133,1.27E-05,0.000414279,NA,NA,0.015221781,0.011102527,0.008473504,0.002790122,NA,0.003178876,0.001068479,0.002246705,NA,0.00019306,NA,0.001470233,0.002348624,5.332,94.667,3.6,17.965,21.528,15.763,10.687,25.275,1997/1998
138,South,E278000,278000,4868200,4.67,8.52,9.74,NA,16.023,10.515,10.716,8.713,18.627,419.507,0.749,7494,0.364,3646,4.447,44472,2.921,29215,558.508,26.238,16.423,0.478,4788,1.197,11973,0.851,8512,0.37051939,NA,NA,0.076409984,6.52E-05,0.000200398,4.59E-05,NA,0.004728871,0.019428445,0.010401819,0.004540796,0.000042598,0.002237333,NA,0.001084999,4.47E-07,0.000751672,4.11E-05,0.002653624,0.005293966,9.972,90.027,2.245,13.865,24.155,18.189,8.44,23.089,1997/1998
139,South,E278000,278000,4868100,4.5,12.147,9.767,NA,10.204,12.371,31.154,12.101,38.198,464.605,0.837,8365,0.574,5748,5.445,54450,3.734,37347,743.097,58.154,14.177,0.484,4848,1.376,13769,1.02,10204,0.361150509,NA,NA,0.130381628,0.000069784,0.000383118,NA,0.00017263,0.005404243,0.027996887,0.014721143,0.006257046,NA,0.002074339,NA,0.001180355,NA,0.001329976,NA,0.002585878,0.00871363,10.891,89.108,2.93,15.338,22.174,16.492,8.346,23.67,1997/1998
140,South,E278000,278000,4867900,4.8,6.148,8.333,0.299,9.864,13.352,22.02,22.319,49.421,545.12,0.684,6838,0.481,4811,3.47,34702,3.507,35079,698.562,51.413,12.654,0.521,5213,1.376,13761,0.886,8868,0.267029621,NA,NA,0.145282428,0.000060633,0.000206543,NA,0.000402133,0.000578382,0.031668658,0.019806896,0.018487923,1.28E-05,0.002507727,NA,0.000855338,NA,0.001529167,NA,0.003767806,0.009931017,9.565,90.434,4.537,18.071,23.787,14.162,6.619,23.392,1997/1998
141,South,E278000,278000,4867800,4.56,5.169,10.228,NA,17.863,17.47,17.666,12.857,38.179,427.92,0.658,6577,0.506,5063,3.281,32813,3.631,36319,574.354,65.66,20.316,0.483,4839,1.133,11339,0.795,7950,0.412187912,NA,NA,0.090873635,6.92E-05,0.000404902,0.000040148,0.000369595,0.009099604,0.03260022,0.012289154,0.004816961,2.33E-05,0.002815532,NA,0.001066425,NA,0.000939429,2.74E-05,0.002758398,0.006469495,9.696,90.303,2.494,13.236,21.327,15.377,9.701,28.028,1997/1998
142,South,E278000,278000,4867600,4.79,7.699,9.775,NA,11.48,18.347,67.239,14.555,49.815,478.568,0.913,9133,0.706,7063,7.132,71325,3.839,38394,788.115,116.131,17.424,0.516,5166,1.736,17368,0.953,9532,0.380739887,NA,NA,0.092401677,4.56E-05,0.000259109,0.000019812,0.000121063,0.002002431,0.02962439,0.012282325,0.002442861,1.04E-05,0.001820334,NA,0.001003795,NA,0.001223416,1.19E-05,0.002212786,0.006653231,3.725,96.274,2.931,14.174,16.514,12.249,10.061,40.386,1997/1998
143,South,E278000,278000,4867500,4.58,12.519,10.774,NA,16.474,14.877,27.557,15.276,42.134,399.474,0.527,5274,0.582,5822,4.047,40474,3.932,39323,629.414,5.79,19.769,0.562,5629,1.357,13574,0.798,7987,0.41963788,NA,NA,0.057965669,6.54E-05,0.00020904,2.71E-05,0.000147407,0.001758823,0.024758692,0.007442374,0.002544651,2.11E-05,0.001746283,NA,0.000921378,4.56E-05,0.000613168,3.09E-05,0.002057746,0.00428211,8.647,91.352,2.395,16.125,30.03,20.992,10.193,11.789,1997/1998
144,South,E278000,278000,4867300,4.66,11.871,12.743,NA,13.719,15.37,31.049,11.759,51.885,499.15,0.757,7566,0.664,6646,4.952,49529,5.019,50199,686.782,216.618,12.275,0.552,5523,1.345,13459,0.835,8355,0.466312777,NA,NA,0.153409709,0.000111469,0.000230705,NA,3.75E-05,0.003900971,0.034219964,0.015960211,0.003289123,NA,0.001783498,NA,0.000911902,NA,0.001467001,NA,0.0062132,0.010027317,13.919,86.08,2.948,15.122,20.318,13.871,6.765,27.414,1997/1998
145,South,E278000,278000,4867200,4.58,6.966,12.412,NA,8.739,7.723,6.199,14.227,24.185,355.973,0.723,7226,0.34,3403,5.472,54722,3.724,37240,711.437,173.057,19.612,0.561,5618,1.375,13752,0.894,8943,0.564531745,NA,NA,0.112307913,7.09E-05,0.000788069,3.60E-06,NA,0.018314754,0.036444958,0.014890041,0.004705633,NA,0.00237729,NA,0.001263712,4.49E-05,0.001007475,NA,0.002753721,0.007994857,2.908,97.091,2.558,15.308,22.481,15.111,6.385,35.201,1997/1998
146,South,E278000,278000,4867000,4.35,14.792,14.468,NA,13.915,12.29,18.79,14.728,31.994,420.092,0.5,5002,0.39,3909,3.07,30702,4.15,41502,742.067,79.63,24.275,0.547,5475,1.194,11946,0.7,7008,0.469906043,NA,NA,0.079882362,6.28E-05,0.000396334,9.71E-06,0.00016337,0.001926348,0.056641925,0.012157651,0.005415122,9.38E-06,0.002009309,NA,0.001249175,NA,0.000708679,1.07E-05,0.002756527,0.006678473,12.59,87.409,4.041,22.705,24.158,12.692,4.427,19.7,1997/1998
147,South,E278000,278000,4866900,4.56,16.534,17.759,NA,30.757,4.572,22.756,29.094,57.15,493.876,0.224,2238,0.445,4458,3.029,30297,3.605,36055,1119.299,47.486,16.937,0.484,4843,1.409,14098,0.706,7066,0.427391628,NA,0.000497867,0.036858312,5.11E-05,0.000470908,1.07E-05,NA,0.000237306,0.030568925,0.00746476,0.007894574,NA,0.001213577,NA,0.000802233,NA,0.000462147,0.000002845,0.001065323,0.003434435,2.733,97.266,6.393,28.786,26.159,13.053,5.969,17.115,1997/1998
148,South,E278000,278000,4866700,4.48,10.485,13.482,NA,23.075,2.266,21.221,20.5,46.048,575.135,0.57,5697,0.548,5482,4.263,42632,3.712,37120,807.228,203.97,19.985,0.563,5633,1.467,14675,0.721,7211,0.353597089,NA,NA,0.057569802,6.36E-05,0.000491554,2.23E-06,2.21E-05,0.000408587,0.035613165,0.010564524,0.013964354,NA,0.001941483,NA,0.001005305,NA,0.000625357,1.35E-06,0.002213379,0.00484322,9.917,90.082,4.135,19.936,21.272,11.749,5.132,28.004,1997/1998
149,South,E278000,278000,4866600,4.32,12.34,13.673,NA,19.157,3.303,28.487,15.111,36.579,298.828,0.154,1535,0.294,2949,2.014,20148,4.225,42256,703.761,76.379,15.771,0.513,5136,1.3,13006,0.677,6771,0.494877513,NA,NA,0.083468225,5.47E-05,0.00052928,NA,NA,0.004047193,0.022059659,0.009591671,0.005483921,NA,0.002066142,NA,0.001113395,NA,0.000909963,NA,0.001898082,0.005649168,11.343,88.656,3.9,19.155,22.298,12.785,4.875,25.793,1997/1998
150,South,E278000,278000,4866400,4.35,2.608,12.82,NA,14.715,NA,30.749,12.584,18.166,335.199,0.266,2663,0.316,3166,2.033,20332,1.994,19942,981.545,25.37,18.774,0.607,6070,1.38,13802,0.73,7307,0.510735372,NA,NA,0.043305191,6.83E-05,0.000687771,1.03E-05,NA,0.023472284,0.060376311,0.023368156,0.002779663,NA,0.003799977,NA,0.003051324,NA,0.000404887,0.000028096,0.002799863,0.005893334,5.167,94.832,1.59,10.943,16.585,13.934,7.213,44.584,1997/1998
151,South,E278000,278000,4866300,4.23,8.144,13.782,NA,25.34,NA,26.894,15.34,25.243,457.873,0.316,3156,0.456,4563,3.394,33948,3.457,34576,1000.991,89.419,16.796,0.637,6376,1.313,13130,0.64,6408,0.714367511,NA,NA,0.028885507,4.78E-05,0.000700486,1.85E-06,NA,0.025670585,0.020205198,0.011406211,0.00171575,NA,0.003215569,NA,0.00165315,NA,0.00046745,NA,0.002526579,0.002932927,8.621,91.378,3.323,15.982,20.332,12.843,7.098,32.023,1997/1998
182,South,E277000,277000,4866300,4.35,5.826,18.191,NA,20.18,2.752,23.339,16.307,22.727,589.281,0.663,6627,0.437,4377,2.373,23733,3.73,37306,1039.751,227.681,11.516,0.638,6384,1.458,14584,0.489,4892,0.706597913,NA,NA,0.232656999,0.000151104,0.00073724,NA,NA,0.023937118,0.055381897,0.033035412,0.008037072,NA,0.003092514,NA,0.002177641,NA,0.001039798,NA,0.008009147,0.015973788,8.565,91.434,1.77,9.698,17.567,16.8,8.695,36.982,1997/1998
183,South,E277000,277000,4866400,4.01,5.752,15.497,0.614,10.123,NA,31.392,13.6,20.655,269.952,0.252,2518,0.214,2144,1.321,13215,4.412,44125,767.113,18.712,20.246,0.569,5699,0.974,9741,0.654,6544,0.882872482,8.75E-05,NA,0.107889262,0.000113799,0.001085558,NA,NA,0.03668785,0.032047839,0.020984003,0.002718168,NA,0.002455634,NA,0.001861441,NA,0.000840514,NA,0.003562295,0.008176511,6.996,93.003,2.348,11.541,19.053,14.639,8.24,37.2,1997/1998
184,South,E277000,277000,4866600,4.15,4.737,12.831,NA,9.914,NA,20.849,12.366,18.396,393.271,0.536,5356,0.349,3494,2.312,23124,3.535,35356,683.42,27.083,7.869,0.476,4762,0.978,9783,0.766,7665,0.513267658,NA,NA,0.123128878,6.53E-05,0.000827347,4.81E-05,0.000148743,0.026307224,0.028718027,0.013748747,0.015746765,3.23E-05,0.002315897,NA,0.000991478,NA,0.000833708,3.69E-05,0.003002032,0.008120742,11.067,88.932,3.759,13.932,23.096,17.074,6.601,24.224,1997/1998
185,South,E277000,277000,4866700,4.56,4.941,10.017,NA,15.303,NA,32.764,16.741,20.336,710.527,1.107,11071,0.769,7695,6.042,60422,4.106,41066,510.35,181.585,8.319,0.523,5231,1.251,12514,1.078,10784,0.475699765,NA,NA,0.105968986,2.68E-05,0.000565021,NA,NA,0.01629434,0.029746179,0.01227532,0.005894813,1.04E-05,0.00157253,NA,0.00060922,NA,0.000885061,NA,0.002274042,0.007089073,5.986,94.013,1.858,10.718,21.553,18.6,9.486,31.738,1997/1998
186,South,E277000,277000,4866900,4.36,3.713,10.772,NA,9.741,2.315,22.569,12.345,38.387,331.011,0.252,2517,0.384,3849,3.299,32990,3.697,36974,534.131,7.33,8.101,0.493,4931,1.254,12546,0.607,6076,0.603238565,NA,NA,0.096322366,0.000059089,0.001281677,1.13E-05,NA,0.038357802,0.039451628,0.018237697,0.008644977,NA,0.002799622,NA,0.001609313,NA,0.000938339,3.72E-06,0.003601895,0.007463323,8.003,91.996,2.452,12.845,22.977,17.087,8.101,28.692,1997/1998
187,South,E277000,277000,4867000,4.43,4.348,9.515,NA,26.74,8.032,48.975,16.945,57.007,585.839,0.394,3944,0.624,6246,5.295,52952,3.504,35044,693.485,42.51,13.223,0.485,4858,1.687,16876,0.597,5975,0.433306818,NA,NA,0.155041774,6.25E-05,0.001585446,NA,0.000260835,0.018926623,0.042844157,0.025454668,0.022201581,NA,0.002147989,NA,0.001985259,0.000101018,0.001419982,NA,0.002707798,0.011061501,15.882,84.117,4.425,16.344,25.783,13.739,6.066,18.009,1997/1998
188,South,E277000,277000,4867200,4.35,4.52,10.594,NA,13.058,NA,23.624,14.653,38.775,419.741,0.534,5340,0.333,3334,2.133,21337,4.146,41460,511.942,40.967,10.067,0.518,5184,0.948,9480,0.757,7575,0.455114378,NA,NA,0.074923342,3.83E-05,0.000748628,4.59E-06,2.67E-05,0.017421254,0.026955121,0.011009762,0.009079093,NA,0.001547306,NA,0.000923891,NA,0.000754631,NA,0.001603403,0.005492159,7.055,92.944,2.596,10.734,18.544,14.629,7.767,38.816,1997/1998
189,South,E277000,277000,4867300,4.74,5.545,10.997,NA,15.107,NA,15.724,11.818,42.238,464.307,0.842,8419,0.613,6134,4.311,43113,3.969,39698,698.309,28.672,21.273,0.524,5243,1.188,11882,0.976,9763,0.439006299,8.41E-05,NA,0.220951035,9.40E-05,0.000428102,1.54E-06,0.000350995,0.007474724,0.03738282,0.026712491,0.00410658,NA,0.002250699,NA,0.000872704,NA,0.001913244,NA,0.005111647,0.014596178,11.744,88.255,2.888,15.157,19.782,14.704,7.947,27.831,1997/1998
190,South,E277000,277000,4867500,4.59,7.781,11.341,NA,17.597,0.389,31.013,15.069,52.985,447.507,0.333,3334,0.291,2917,1.333,13334,4.077,40773,858.264,87.012,16.819,0.537,5378,1.17,11700,0.777,7778,0.432983578,NA,0.000105335,0.061127623,0.000067611,0.000318529,7.53E-06,0.000228469,0.004168989,0.037324975,0.010565775,0.009862125,NA,0.001949693,NA,0.001146021,NA,0.000540799,NA,0.002856353,0.005069721,11.067,88.932,2.704,17.022,20.789,14.027,6.047,28.398,1997/1998
191,South,E277000,277000,4867600,4.36,9.533,10.792,0.308,26.822,1.747,34.324,17.881,63.099,422.885,0.213,2133,0.335,3354,1.373,13731,4.27,42706,821.415,59.193,16.853,0.565,5656,1.261,12612,0.781,7810,0.332360853,NA,NA,0.052742906,7.69E-05,0.00024669,2.43E-05,0.000238699,0.001637858,0.030755622,0.01028328,0.010295223,2.40E-05,0.001962697,NA,0.001092149,NA,0.000419829,3.11E-05,0.002595749,0.00437838,11.328,88.671,3.478,16.557,25.018,14.001,7.516,22.077,1997/1998
192,South,E277000,277000,4867800,4.62,9.621,9.401,NA,16.29,1.268,35.214,16.388,69.94,389.691,0.254,2535,0.174,1747,0.976,9762,3.811,38115,725.048,3.609,5.95,0.556,5561,1.117,11170,0.702,7023,0.290811748,0.00011228,NA,0.092640369,0.000094336,0.000230599,NA,0.000177026,0.000798901,0.026042159,0.016664596,0.008608469,NA,0.001930717,NA,0.000803301,NA,0.000811539,NA,0.003158464,0.006898974,7.294,92.705,4.326,20.084,22.863,14.125,5.79,25.663,1997/1998
193,South,E277000,277000,4867900,4.55,11.318,11.642,0.1,19.061,0.301,33.608,17.456,33.107,270.371,0.08,804,0.167,1672,0.82,8208,4.087,40873,788.14,23.776,7.323,0.617,6171,1.26,12605,0.612,6120,0.354336052,NA,NA,0.062544633,6.26E-05,0.000212992,5.04E-06,0.000147671,0.000443186,0.029578724,0.012825958,0.008318081,NA,0.002432112,NA,0.000743852,1.15E-05,0.000534828,2.75E-06,0.003567327,0.005132614,11.205,88.794,3.321,14.324,19.613,15.635,7.934,28.07,1997/1998
194,South,E277000,277000,4868100,4.54,8.631,11.17,NA,19.299,6.156,35.022,19.632,75.284,1009.302,0.031,306,0.106,1065,0.457,4573,4.005,40052,780.123,31.278,13.725,0.489,4895,0.925,9250,0.632,6322,0.235574154,NA,NA,0.060204002,0.000131512,0.000181384,NA,NA,0.00088707,0.036715098,0.011476252,0.023623687,3.32E-06,0.001326415,NA,0.000789119,NA,0.000480255,3.81E-06,0.00388331,0.005060341,6.714,93.285,2.996,12.887,19.761,14.356,8.03,35.371,1997/1998
195,South,E277000,277000,4868200,4.43,6.304,18.122,NA,24.322,2.079,37.523,23.179,54.881,497.044,0.205,2054,0.198,1981,1.086,10865,3.511,35114,956.357,179.713,13.304,0.484,4841,1.111,11110,0.644,6444,0.646410545,NA,NA,0.137162209,0.000133155,0.001584767,NA,NA,0.008919953,0.041965379,0.022295753,0.055545384,NA,0.00215591,NA,0.00139597,NA,0.001116005,NA,0.006170815,0.00997104,13.807,86.192,2.93,13.468,21.465,14.128,6.598,27.891,1997/1998
