"Easting","Northing","Longitude","Latitude"
391382.28,6466417.1,115.850932037496,-31.932977224743
391384.34,6466428,115.850955049616,-31.9328791029043
391382.72,6466438.1,115.850939047937,-31.9327878449831
391378.08,6466447,115.85089096861,-31.9327071221638
391374.4,6466455.2,115.850852964875,-31.9326328052623
391371.95,6466463.7,115.85082800475,-31.9325559000379
391373.09,6466471.8,115.850840971682,-31.9324829464167
391373.18,6466481,115.850842956054,-31.9323999702095
391371.04,6466486.6,115.850820949455,-31.9323492529086
391374.02,6466490.9,115.850852951809,-31.9323107517136
391374.22,6466499,115.850855976202,-31.9322377081291
391371.55,6466501.3,115.850827993441,-31.9322167064035
391364.56,6466501.2,115.850754048272,-31.9322169394378
391352.27,6466500.4,115.850623965894,-31.9322229791959
391347.66,6466498.2,115.850574958511,-31.9322423821194
391347.31,6466495.8,115.850570987133,-31.932263996829
391344.3,6466494.4,115.850538992892,-31.9322763368227
391340.53,6466493.1,115.850498971264,-31.9322877020455
391339.12,6466483.5,115.85048297989,-31.9323741599132
391337.44,6466472.6,115.850463986723,-31.9324723180436
391337.06,6466463.7,115.850458968315,-31.932552560447
391337.62,6466455.8,115.850464004673,-31.9326238727507
391344.15,6466446.5,115.850532029508,-31.9327083846844
391348.71,6466443.9,115.850579969505,-31.9327322734208
391350.37,6466439.1,115.850596988811,-31.9327757287427
391350.15,6466433.5,115.850594033255,-31.9328262201758
391358.99,6466428.3,115.850686951818,-31.9328739707868
391371.07,6466422.2,115.850814039549,-31.9329301494984
391382.28,6466417.1,115.850932037496,-31.932977224743
