Field_ID,Sample.ID,Easting,Northing,ICP_ID,microplastics_fibres,microplastics_fragments,microbeads,microplastics_Other,pH,EC,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn,Zone
AF_sed_26,ENVT4461.1,400218.8,6468043,ENVT4461,6500,4500,250,0,5.97,8.15,39665,2.8,75,2052,0.202,106.3,15.1,80.8,185,41907,18.9,6.9,4975,53.1,37.8,5046,111.7,0.8,11841,42.8,28,569,89,77.3,2037,11.8,47.4,25.6,367,87.6,21.8,261.6,SW_transect
AF_sed_27,ENVT4461.1,400226,6468031,ENVT4461,8000,1000,250,250,5.86,12.1,34303,4.6,65,2261,0.12,93.4,11.5,69.5,201,35224,17.3,6.1,4253,45,32.3,4984,96.8,1.2,14879,37.7,24,753,48.8,65.2,2923,10.4,47.5,23.7,274.7,83.6,19.6,153.7,SW_transect
AF_sed_60,ENVT4461.1,400041,6468267,ENVT4461,12750,1000,0,0,5.2,280,888,NA,6,470,0.031,2.3,12.2,1.8,0,1562,NA,NA,73,1.5,0.5,106,6.9,0.1,61,1,2,26,4.5,0.6,1358,0.1,2.3,NA,47.2,2.3,0.5,825.2,Woolcock
AF_sed_61,ENVT4461.2,400050,6468255,ENVT4461,4000,1000,0,0,4.74,0.14,2855,0.4,14,843,0.039,4.1,11.9,4.1,2,4297,NA,0.2,215,2.5,1.4,280,19.7,0.2,122,1.9,3,57,15.5,1.6,1782,0.2,3.3,1.1,112.3,5.9,1.2,891.5,Woolcock
AF_sed_62,ENVT4461.2,400056,6468247,ENVT4461,1500,1000,0,0,7.3,0.25,10635,4,16,11933,0.154,17.6,56.3,11,12,23630,7.6,1.4,493,14.3,1.4,827,263.9,0.6,432,7.2,7,361,13.5,2.6,1471,0.6,29.4,2.7,103.7,19,4.5,2807,Woolcock
AF_sed_63,ENVT4461.2,400055,6468230,ENVT4461,1000,6000,0,0,7.35,0.47,12920,5.5,34,21592,0.254,25.4,56.1,14.5,24,28221,10.2,1.9,405,20.9,2,1276,107.5,0.7,571,9.6,13,682,26.7,3.1,3591,0.6,60.6,2.1,89.8,16.9,6.5,7556.4,Woolcock
AF_sed_64,ENVT4461.2,400050,6468217,ENVT4461,8500,2500,0,0,6.42,0.77,25844,9,41,8281,0.346,47.9,63.2,20.2,33,58538,20.9,3.5,579,36.9,2.8,1633,181.7,1.8,1032,15.6,17,1052,39.5,3.8,4113,0.9,48.4,3.1,130.3,28.4,10.2,7035,Woolcock
AF_sed_65,ENVT4461.2,400055,6468199,ENVT4461,1500,0,0,0,6.02,0.96,38846,5.2,37,7865,0.38,67.5,53.5,19.7,28,87955,33.5,5.1,488,52.3,3.1,1499,168.3,3,1102,20.8,15,1074,37.2,3.8,3826,1.1,46.4,3.2,114.8,34.1,13.7,4786.3,Woolcock
AF_sed_67,ENVT4461.3,399985,6468034,ENVT4461,NA,NA,NA,NA,6.07,18.19,10390,0.9,19,3841,0.069,28.3,2.5,20.4,37,9803,5.5,1.9,1889,14.2,11.9,5316,16.1,1.2,22257,12,8,675,23.1,16.1,4634,2.2,67.8,3.2,78.7,24.4,6.4,233.5,KMD
AF_sed_68,ENVT4461.3,399981,6468029,ENVT4461,NA,NA,NA,NA,5.92,21.08,30353,4.4,58,3414,0.115,75.4,6.8,58.1,63,23624,12.9,4.6,3669,37.3,30,6385,40,2.4,22081,30.7,18,545,50.9,51.8,10473,8,88.9,13.8,215.8,65.4,15.7,236.9,KMD
AF_sed_69,ENVT4461.3,399977,6468009,ENVT4461,NA,NA,NA,NA,3.16,32.9,19705,7.8,45,3594,0.617,63.9,17.5,42.2,79,69281,30,5.9,3296,31.6,23.1,7116,78.4,6.4,37420,28.4,18,466,32.9,38.2,64085,5.7,84.6,10.7,149.1,73.9,16.1,873.4,KMD
AF_sed_70,ENVT4461.3,399977,6468030,ENVT4461,NA,NA,NA,NA,4.82,31.3,28640,4.2,39,2842,0.14,68.3,6.8,56.8,59,27317,14.7,4.6,3759,31.4,29.1,6439,38.4,2.7,26085,28.8,17,410,31.1,54.6,11980,8.5,64.4,16.6,207.8,66.5,14.5,291.6,KMD
